,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.49868,0.37622,0.31463,0.273,0.24442,0.22588,0.20999,0.19544,0.18612,0.17438,0.16918,0.16017,0.15457,0.15026,0.14314,0.14092,0.13689,0.13168,0.129,0.12517,0.12128,0.11823,0.11764,0.11448,0.11293,0.1086,0.10686,0.10471,0.10583,0.10297,0.10179,0.09774,0.0977,0.09723,0.09543,0.09552,0.09265,0.09231,0.09161,0.08809,0.0868,0.08646,0.08632,0.08416,0.08395,0.08373,0.08241,0.0817,0.07895,0.07961,0.07802,0.07743,0.0763,0.076,0.07606,0.07484,0.07386,0.07338,0.07501,0.07254,0.07157,0.07195,0.07125,0.07091,0.07028,0.06989,0.06942,0.06948,0.06888,0.06621,0.06598,0.06671,0.06564,0.06523,0.06319,0.06345,0.06459,0.06337,0.06291,0.06427,0.06225,0.06188,0.06217,0.06178,0.06108,0.06109,0.05976,0.06047,0.05958,0.05828,0.05893,0.05871,0.05854,0.05637,0.05685,0.0582,0.05748,0.0572,0.05673,0.05636
2,1,0.748,0.62796,0.54517,0.4917,0.4523,0.41532,0.39242,0.37307,0.34819,0.33875,0.32213,0.31107,0.2989,0.28889,0.28057,0.27083,0.26422,0.25718,0.25106,0.24424,0.23965,0.23345,0.22709,0.2248,0.21892,0.21659,0.21113,0.20904,0.20328,0.20147,0.20011,0.19465,0.19297,0.19127,0.18949,0.18478,0.18265,0.18092,0.18038,0.17405,0.1747,0.17161,0.16851,0.16819,0.16618,0.16393,0.16084,0.16203,0.15991,0.15888,0.15442,0.15454,0.15018,0.15333,0.15085,0.14883,0.1483,0.14571,0.14531,0.14433,0.14284,0.13984,0.14068,0.13892,0.1381,0.13854,0.13888,0.1335,0.13653,0.13362,0.13134,0.13351,0.13087,0.13107,0.12857,0.12733,0.12747,0.12475,0.12725,0.12547,0.12416,0.12235,0.12188,0.12366,0.12146,0.12119,0.11927,0.1209,0.11938,0.11501,0.1168,0.11693,0.11667,0.11598,0.11576,0.11216,0.1144,0.11157,0.1129,0.11117
3,1,0.8743,0.77995,0.71053,0.65726,0.61196,0.57667,0.54302,0.52056,0.49721,0.47802,0.45851,0.44064,0.42879,0.4149,0.40421,0.39395,0.38174,0.37529,0.36357,0.35421,0.35032,0.34094,0.33466,0.32652,0.32164,0.3147,0.31221,0.305,0.30175,0.29489,0.28956,0.28678,0.2835,0.27937,0.27614,0.27362,0.26607,0.26672,0.26262,0.25734,0.25716,0.25285,0.2521,0.24773,0.24362,0.24204,0.24336,0.23994,0.23456,0.23525,0.23133,0.22826,0.2279,0.22507,0.22376,0.2211,0.21904,0.21763,0.21615,0.21417,0.21085,0.21063,0.20996,0.20705,0.20652,0.20446,0.20276,0.20259,0.20118,0.19715,0.20006,0.19537,0.19624,0.19271,0.19157,0.19158,0.18919,0.18911,0.18863,0.18682,0.18578,0.1862,0.18361,0.18297,0.17732,0.17952,0.17987,0.17633,0.17629,0.17555,0.17612,0.17367,0.17508,0.17411,0.17107,0.17116,0.1719,0.16878,0.16765,0.16919
4,1,0.93723,0.87308,0.82009,0.77325,0.7357,0.70067,0.66651,0.6395,0.61536,0.59564,0.57495,0.5589,0.54154,0.53111,0.5147,0.49977,0.49032,0.47788,0.46708,0.46033,0.44811,0.43908,0.43242,0.42424,0.41624,0.41327,0.40215,0.39481,0.39235,0.38492,0.38339,0.37488,0.36853,0.36282,0.36041,0.35713,0.35057,0.3447,0.34365,0.3374,0.3371,0.33388,0.32959,0.32617,0.3223,0.31874,0.31527,0.31258,0.31082,0.30369,0.30537,0.30226,0.2992,0.2933,0.29192,0.29385,0.29087,0.28547,0.28354,0.28318,0.27917,0.27783,0.27747,0.27304,0.27057,0.26829,0.26804,0.26567,0.26428,0.26167,0.2619,0.2593,0.25543,0.25717,0.2542,0.25243,0.25073,0.24826,0.24789,0.2476,0.24275,0.24164,0.2417,0.23945,0.23967,0.23739,0.23705,0.23512,0.23497,0.23296,0.23181,0.22896,0.22894,0.22915,0.22619,0.22512,0.22483,0.22307,0.22129,0.22008
5,1,0.96888,0.92899,0.88964,0.8536,0.82178,0.78805,0.76167,0.73753,0.71266,0.69099,0.67435,0.65713,0.63749,0.62597,0.60631,0.59481,0.58274,0.57217,0.55718,0.54791,0.54133,0.52983,0.52062,0.51128,0.50316,0.49727,0.48671,0.48343,0.47412,0.4687,0.45981,0.45284,0.44962,0.44778,0.4378,0.43494,0.42998,0.42343,0.4172,0.41357,0.40989,0.40665,0.39989,0.39613,0.39547,0.38787,0.38733,0.38277,0.38089,0.37636,0.37109,0.37019,0.36751,0.36168,0.35974,0.35669,0.35352,0.35147,0.3502,0.34479,0.34436,0.34275,0.33873,0.33682,0.33378,0.33263,0.33021,0.32884,0.32213,0.32355,0.32054,0.31845,0.318,0.31507,0.31244,0.31132,0.30699,0.30588,0.30423,0.30184,0.29933,0.3,0.30155,0.29612,0.29585,0.29396,0.29032,0.29129,0.29034,0.2889,0.28387,0.28363,0.28478,0.28027,0.28245,0.27754,0.27664,0.27531,0.27332,0.27299
6,1,0.98425,0.9609,0.93447,0.90809,0.88157,0.85391,0.83185,0.80858,0.79003,0.77009,0.75168,0.73359,0.7196,0.70178,0.69065,0.67665,0.65978,0.65135,0.63853,0.63017,0.62083,0.60784,0.6005,0.58598,0.58359,0.57208,0.56738,0.56,0.5488,0.54227,0.53427,0.53052,0.52184,0.51874,0.51138,0.50567,0.50155,0.49252,0.49049,0.48345,0.48035,0.47171,0.47103,0.46666,0.4584,0.45776,0.45138,0.44821,0.44268,0.44268,0.43727,0.43823,0.4307,0.42697,0.42401,0.42128,0.41579,0.41406,0.41316,0.40692,0.40605,0.40647,0.39912,0.39594,0.39412,0.39122,0.38827,0.38786,0.38179,0.37958,0.37948,0.37752,0.37523,0.37457,0.371,0.36804,0.36759,0.36029,0.36104,0.36136,0.35372,0.35486,0.35377,0.35231,0.3493,0.34918,0.34479,0.34333,0.34597,0.3422,0.33889,0.33369,0.33861,0.33528,0.33143,0.33018,0.32903,0.32732,0.32386,0.32492
7,1,0.99196,0.97851,0.96114,0.94246,0.92265,0.90207,0.88392,0.86795,0.84745,0.83053,0.81493,0.79952,0.78277,0.77061,0.75883,0.7437,0.73142,0.72034,0.70805,0.69618,0.68639,0.67844,0.67204,0.65732,0.65172,0.6384,0.63439,0.62691,0.61833,0.61165,0.60405,0.59756,0.5924,0.58293,0.57955,0.57147,0.5653,0.56168,0.55571,0.54708,0.54176,0.53897,0.53557,0.52887,0.52498,0.51773,0.51567,0.51025,0.50708,0.50604,0.50023,0.49546,0.4934,0.49043,0.48497,0.47969,0.47593,0.4729,0.46782,0.47039,0.46356,0.46056,0.45653,0.45431,0.44948,0.44638,0.44291,0.44338,0.43786,0.43757,0.43393,0.43115,0.4326,0.42713,0.42463,0.42377,0.41849,0.41798,0.41588,0.41097,0.40996,0.40617,0.40539,0.40365,0.40257,0.40142,0.39941,0.3962,0.3969,0.3928,0.39283,0.38908,0.38747,0.38369,0.38384,0.38124,0.38097,0.37889,0.37716,0.37614
8,1,0.99612,0.98819,0.97805,0.9654,0.95029,0.937,0.92163,0.90656,0.89231,0.87806,0.86392,0.85231,0.83807,0.82499,0.8115,0.79969,0.78698,0.77766,0.76539,0.75888,0.74417,0.73589,0.72767,0.71728,0.71067,0.70127,0.69566,0.68544,0.67563,0.67234,0.6656,0.65786,0.65071,0.64621,0.63699,0.62879,0.62719,0.62139,0.61503,0.60639,0.60267,0.59736,0.59231,0.58637,0.58308,0.57721,0.57664,0.56949,0.56371,0.56113,0.55679,0.55339,0.54918,0.54472,0.53976,0.53754,0.53502,0.52656,0.5288,0.51968,0.51838,0.51661,0.51281,0.51031,0.50417,0.50239,0.49764,0.49643,0.4934,0.4912,0.48713,0.48563,0.48082,0.48155,0.47739,0.47504,0.47257,0.46964,0.46499,0.46276,0.46539,0.45899,0.45579,0.4533,0.45152,0.45047,0.44815,0.44407,0.44375,0.44335,0.43739,0.43442,0.43302,0.43322,0.4312,0.42857,0.42688,0.42501,0.42407,0.42233
9,1,0.99819,0.99358,0.98688,0.9786,0.96871,0.95832,0.94768,0.93606,0.92397,0.91396,0.90067,0.88898,0.87903,0.86746,0.8561,0.84608,0.83346,0.8259,0.81545,0.80788,0.79778,0.78767,0.7767,0.77081,0.76197,0.7552,0.74807,0.74374,0.73066,0.7243,0.71605,0.71152,0.70651,0.69968,0.69295,0.68273,0.67658,0.67359,0.66501,0.66241,0.65808,0.65411,0.64801,0.64333,0.63551,0.63043,0.62698,0.62337,0.61838,0.61579,0.60703,0.60286,0.60168,0.59442,0.59272,0.58713,0.58522,0.57886,0.57727,0.57367,0.56929,0.5655,0.56185,0.56118,0.55293,0.55204,0.54523,0.54668,0.54535,0.53951,0.53784,0.53764,0.5332,0.52868,0.52412,0.52327,0.52147,0.51768,0.5178,0.51364,0.50595,0.50492,0.50733,0.50536,0.50102,0.49719,0.49359,0.49192,0.48939,0.488,0.48703,0.48318,0.48601,0.48061,0.47902,0.47608,0.47333,0.47446,0.47259,0.46683
